SEQ,VARIABLE,DESCRIPTION,VINTAGE,UNIT,TYPE,AGGREGATION_TYPE,WEIGHT_FIELD,UNIVERSE,MEDIAN_UBOUND,NATIVE_GEO
143,RNTX310,Cash Rent: $500 to $549,2023,Dwellings,Numeric,Sum,,DWLE3RENT,549,Block Group
144,RNTX311,Cash Rent: $550 to $599,2023,Dwellings,Numeric,Sum,,DWLE3RENT,599,Block Group
145,RNTX312,Cash Rent: $600 to $649,2023,Dwellings,Numeric,Sum,,DWLE3RENT,649,Block Group
146,RNTX313,Cash Rent: $650 to $699,2023,Dwellings,Numeric,Sum,,DWLE3RENT,699,Block Group
147,RNTX314,Cash Rent: $700 to $749,2023,Dwellings,Numeric,Sum,,DWLE3RENT,749,Block Group
148,RNTX315,Cash Rent: $750 to $799,2023,Dwellings,Numeric,Sum,,DWLE3RENT,799,Block Group
149,RNTX316,Cash Rent: $800 to $899,2023,Dwellings,Numeric,Sum,,DWLE3RENT,899,Block Group
150,RNTX317,Cash Rent: $900 to $999,2023,Dwellings,Numeric,Sum,,DWLE3RENT,999,Block Group
151,RNTX318,Cash Rent: $1,000 to $1,249,2023,Dwellings,Numeric,Sum,,DWLE3RENT,1249,Block Group
152,RNTX319,Cash Rent: $1,250 to $1,499,2023,Dwellings,Numeric,Sum,,DWLE3RENT,1499,Block Group
153,RNTX320,Cash Rent: $1,500 to $1,999,2023,Dwellings,Numeric,Sum,,DWLE3RENT,1999,Block Group
154,RNTX321,Cash Rent: $2,000 to $2,499,2023,Dwellings,Numeric,Sum,,DWLE3RENT,2499,Block Group
155,RNTX322,Cash Rent: $2,500 to $2,999,2023,Dwellings,Numeric,Sum,,DWLE3RENT,2999,Block Group
156,RNTX323,Cash Rent: $3,000 to $3,499,2023,Dwellings,Numeric,Sum,,DWLE3RENT,3499,Block Group
157,RNTX324,Cash Rent: $3,500 or more,2023,Dwellings,Numeric,Sum,,DWLE3RENT,4499,Block Group
158,RNTX325,Cash Rent: No cash rent,2023,Dwellings,Numeric,Sum,,DWLE3RENT,,Block Group
159,RNTX3MED,Median Cash Rent,2023,Dollars,Numeric,Median,,,,Block Group
160,DWLE3OCCUP,Housing units occupied,2023,Dwellings,Numeric,Sum,,DWLE3,,Block Group
161,DWLE3OWNED,Occupied units owner,2023,Dwellings,Numeric,Sum,,DWLE3,,Block Group
162,HUSX3O1DET,Units in Structure: Owner occupied: 1, detached,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,,Block Group
163,HUSX3O1ATT,Units in Structure: Owner occupied: 1, attached,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,,Block Group
164,HUSX3O2,Units in Structure: Owner occupied: 2,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,,Block Group
165,HUSX3O0304,Units in Structure: Owner occupied: 3 or 4,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,,Block Group
166,HUSX3O0509,Units in Structure: Owner occupied: 5 to 9,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,,Block Group
167,HUSX3O1019,Units in Structure: Owner occupied: 10 to 19,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,,Block Group
168,HUSX3O2049,Units in Structure: Owner occupied: 20 to 49,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,,Block Group
169,HUSX3OGT50,Units in Structure: Owner occupied: 50 or more,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,,Block Group
170,HUSX3OMOB,Units in Structure: Owner occupied: Mobile home,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,,Block Group
171,HUSX3OBOAT,Units in Structure: Owner occupied: Boat, RV, van, etc.,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,,Block Group
172,HUSX3R1DET,Units in Structure: Renter occupied: 1, detached,2023,Dwellings,Numeric,Sum,,DWLE3RENT,,Block Group
173,HUSX3R1ATT,Units in Structure: Renter occupied: 1, attached,2023,Dwellings,Numeric,Sum,,DWLE3RENT,,Block Group
174,HUSX3R2,Units in Structure: Renter occupied: 2,2023,Dwellings,Numeric,Sum,,DWLE3RENT,,Block Group
175,HUSX3R0304,Units in Structure: Renter occupied: 3 or 4,2023,Dwellings,Numeric,Sum,,DWLE3RENT,,Block Group
176,HUSX3R0509,Units in Structure: Renter occupied: 5 to 9,2023,Dwellings,Numeric,Sum,,DWLE3RENT,,Block Group
177,HUSX3R1019,Units in Structure: Renter occupied: 10 to 19,2023,Dwellings,Numeric,Sum,,DWLE3RENT,,Block Group
178,HUSX3R2049,Units in Structure: Renter occupied: 20 to 49,2023,Dwellings,Numeric,Sum,,DWLE3RENT,,Block Group
179,HUSX3RGT50,Units in Structure: Renter occupied: 50 or more,2023,Dwellings,Numeric,Sum,,DWLE3RENT,,Block Group
180,HUSX3RMOB,Units in Structure: Renter occupied: Mobile home,2023,Dwellings,Numeric,Sum,,DWLE3RENT,,Block Group
181,HUSX3RBOAT,Units in Structure: Renter occupied: Boat, RV, van, etc.,2023,Dwellings,Numeric,Sum,,DWLE3RENT,,Block Group
182,HUSX31DET,Units in Structure: 1, detached,2023,Dwellings,Numeric,Sum,,DWLE3OCCUP,,Block Group
183,HUSX31ATT,Units in Structure: 1, attached,2023,Dwellings,Numeric,Sum,,DWLE3OCCUP,,Block Group
184,HUSX32,Units in Structure: 2,2023,Dwellings,Numeric,Sum,,DWLE3OCCUP,,Block Group
185,HUSX30304,Units in Structure: 3 or 4,2023,Dwellings,Numeric,Sum,,DWLE3OCCUP,,Block Group
186,HUSX30509,Units in Structure: 5 to 9,2023,Dwellings,Numeric,Sum,,DWLE3OCCUP,,Block Group
187,HUSX31019,Units in Structure: 10 to 19,2023,Dwellings,Numeric,Sum,,DWLE3OCCUP,,Block Group
188,HUSX32049,Units in Structure: 20 to 49,2023,Dwellings,Numeric,Sum,,DWLE3OCCUP,,Block Group
189,HUSX3GT50,Units in Structure: 50 or more,2023,Dwellings,Numeric,Sum,,DWLE3OCCUP,,Block Group
190,HUSX3MOB,Units in Structure: Mobile home,2023,Dwellings,Numeric,Sum,,DWLE3OCCUP,,Block Group
191,HUSX3BOAT,Units in Structure: Boat, RV, van, etc.,2023,Dwellings,Numeric,Sum,,DWLE3OCCUP,,Block Group
192,HOOX3V01,Value of Owner Occupied Housing Units: Less than $10,000,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,9999,Block Group
193,HOOX3V02,Value of Owner Occupied Housing Units: $10,000 to $14,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,14999,Block Group
194,HOOX3V03,Value of Owner Occupied Housing Units: $15,000 to $19,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,19999,Block Group
195,HOOX3V04,Value of Owner Occupied Housing Units: $20,000 to $24,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,24999,Block Group
196,HOOX3V05,Value of Owner Occupied Housing Units: $25,000 to $29,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,29999,Block Group
197,HOOX3V06,Value of Owner Occupied Housing Units: $30,000 to $34,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,34999,Block Group
198,HOOX3V07,Value of Owner Occupied Housing Units: $35,000 to $39,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,39999,Block Group
199,HOOX3V08,Value of Owner Occupied Housing Units: $40,000 to $49,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,49999,Block Group
200,HOOX3V09,Value of Owner Occupied Housing Units: $50,000 to $59,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,59999,Block Group
201,HOOX3V10,Value of Owner Occupied Housing Units: $60,000 to $69,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,69999,Block Group
202,HOOX3V11,Value of Owner Occupied Housing Units: $70,000 to $79,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,79999,Block Group
203,HOOX3V12,Value of Owner Occupied Housing Units: $80,000 to $89,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,89999,Block Group
204,HOOX3V13,Value of Owner Occupied Housing Units: $90,000 to $99,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,99999,Block Group
205,HOOX3V14,Value of Owner Occupied Housing Units: $100,000 to $124,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,124999,Block Group
206,HOOX3V15,Value of Owner Occupied Housing Units: $125,000 to $149,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,149999,Block Group
207,HOOX3V16,Value of Owner Occupied Housing Units: $150,000 to $174,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,174999,Block Group
208,HOOX3V17,Value of Owner Occupied Housing Units: $175,000 to $199,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,199999,Block Group
209,HOOX3V18,Value of Owner Occupied Housing Units: $200,000 to $249,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,249999,Block Group
210,HOOX3V19,Value of Owner Occupied Housing Units: $250,000 to $299,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,299999,Block Group
211,HOOX3V20,Value of Owner Occupied Housing Units: $300,000 to $399,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,399999,Block Group
212,HOOX3V21,Value of Owner Occupied Housing Units: $400,000 to $499,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,499999,Block Group
213,HOOX3V22,Value of Owner Occupied Housing Units: $500,000 to $749,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,749999,Block Group
214,HOOX3V23,Value of Owner Occupied Housing Units: $750,000 to $999,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,999999,Block Group
215,HOOX3V24,Value of Owner Occupied Housing Units: $1,000,000 to $1,499,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,1499999,Block Group
216,HOOX3V25,Value of Owner Occupied Housing Units: $1,500,000 to $1,999,999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,1999999,Block Group
217,HOOX3V26,Value of Owner Occupied Housing Units: $2,000,000 or more,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,4000000,Block Group
218,HOOX3MED,Median Value of Owner Occupied Housing Units,2023,Dollars,Numeric,Median,,,,Block Group
219,YBTX3O20UP,Year Structure Built: Owner occupied: Built 2020 or later,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,5,Block Group
220,YBTX3O1019,Year Structure Built: Owner occupied: Built 2010 to 2019,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,10,Block Group
221,YBTX3O0009,Year Structure Built: Owner occupied: Built 2000 to 2009,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,15,Block Group
222,YBTX3O9099,Year Structure Built: Owner occupied: Built 1990 to 1999,2023,Dwellings,Numeric,Sum,,DWLE3OWNED,20,Block Group
